date,etrf,etr_mm,crad,et_mm,is_image
2026-03-01,0.1608,2.166,1.0138,0.353,0
2026-03-02,0.1608,1.272,1.0138,0.207,0
2026-03-03,0.1608,1.146,1.0138,0.187,0
2026-03-04,0.1608,1.119,1.0138,0.182,0
2026-03-05,0.1608,0.515,1.0138,0.084,0
2026-03-06,0.1608,1.883,1.0138,0.307,0
2026-03-07,0.1608,1.925,1.0138,0.314,0
2026-03-08,0.1608,2.498,1.0138,0.407,0
2026-03-09,0.1608,1.394,1.0138,0.227,0
2026-03-10,0.1608,1.602,1.0138,0.261,0
2026-03-11,0.1608,2.159,1.0138,0.352,0
2026-03-12,0.1608,2.314,1.0138,0.377,0
2026-03-13,0.1608,2.569,1.0138,0.419,1
2026-03-14,0.1608,1.774,1.0138,0.289,0
2026-03-15,0.1608,1.749,1.0138,0.285,0
2026-03-16,0.1608,2.457,1.0138,0.400,0
2026-03-17,0.1608,2.722,1.0138,0.444,0
2026-03-18,0.1608,2.169,1.0138,0.354,0
2026-03-19,0.1608,2.083,1.0138,0.340,0
2026-03-20,0.1608,2.583,1.0138,0.421,0
2026-03-21,0.1608,2.947,1.0138,0.480,0
2026-03-22,0.1608,2.898,1.0138,0.472,0
2026-03-23,0.1608,2.932,1.0138,0.478,0
2026-03-24,0.1608,4.551,1.0138,0.742,0
2026-03-25,0.1608,4.718,1.0138,0.769,0
2026-03-26,0.1608,3.603,1.0138,0.587,0
2026-03-27,0.1608,4.666,1.0138,0.761,0
2026-03-28,0.1608,2.932,1.0138,0.478,0
2026-03-29,0.1608,3.166,1.0138,0.516,0
2026-03-30,0.1608,3.388,1.0138,0.552,0
2026-03-31,0.1608,4.165,1.0138,0.679,0
